web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url,Description,ASIN,Product Description,Manufacturer
B07XXFB9CZ,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),365,4.3,8419,https://www.amazon.in/sfane-polyester-23cms-duffle-shoulder-gym-bag-for-men-women-with-separate-shoe-compartment-grey/dp/B07XXFB9CZ,             ,B08WKJGDQZ,"                                  Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.              ",
B0C6HZDWRQ,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",529,3.7,39,https://www.amazon.in/true-human-r-emperor-15-6-inch-laptop-bag-with-usb-charging-port-laptop-bag-office-bag-college-bags-anti-theft-captain/dp/B0C6HZDWRQ,             ,B0C6HZDWRQ,,
B0BVVY98PZ,Wesley 15 Liter Casual Daypack Backpack,149,3.8,367,https://www.amazon.in/wesley-15-liter-casual-daypack-backpack/dp/B0BVVY98PZ,             ,B0BVVY98PZ,                                  Wesley Daypack              ,
B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,2299,4.5,7744,https://www.amazon.in/safari-seek-45-ltrs-overnighter-expandable-travel-laptop-backpack/dp/B07BZ5VC4H,             ,B07BZ5VC4H,                           ,
B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3857,https://www.amazon.in/half-moon-large-37l-laptop-bag-backpack-for-menn-women-boys-and-girls-luggage-travel-bags-with-17-3-inches-laptop-compartment-rain-cover/dp/B0BJ32LQ6X,             ,B09VCLZ3K4,"                                  This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.              ",
B09VTCNN75,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",639,4.1,6693,https://www.amazon.in/fur-jaden-anti-theft-number-lock-backpack-bag-with-15-6-inch-laptop-compartment-usb-charging-port-organizer-pocket-for-men-women-boys-girls/dp/B09VTCNN75,             ,B09VTDMRY7,"                                  Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.              ",
B0CJJ15CM7,Impulse IMP linear 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,510,5.0,4,https://www.amazon.in/impulse-imp-linear-45l-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-water-resistant-fits-up-to-16-inch-laptop-with-1-year-warranty/dp/B0CJJ15CM7,             ,B0CJHKDZPY,"                                  Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs              ",
B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",399,3.9,17623,https://www.amazon.in/half-moon-35l-water-resistant-15-6-inch-laptop-bag-backpack-navy-blue-office-bag-for-men-and-women-with-padded-laptop-compartment-rain-cover-reflective-strips/dp/B085MHDJ93,             ,B085MHDJ93,,
B07G4F6XFH,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,798,4.4,6245,https://www.amazon.in/gear-classic-20l-small-faux-leather-water-resistant-anti-theft-laptop-bag-office-backpack-for-men-women-brown/dp/B07G4F6XFH,             ,B07G4F6XFH,"                                  Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.              ",
B0821PN8L4,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",289,4.4,35935,https://www.amazon.in/amazon-brand-presto-oxo-biodegradable-garbage-bags-medium-19-x-21-inches-30-bags-roll-pack-of-6-black/dp/B0821PN8L4,     ,,,‎Narendar Plastics Pvt.Ltd 
