web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url
B07G4F6XFH,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,798,4.4,6245,https://www.amazon.in/gear-classic-20l-small-faux-leather-water-resistant-anti-theft-laptop-bag-office-backpack-for-men-women-brown/dp/B07G4F6XFH
B0BVVY98PZ,Wesley 15 Liter Casual Daypack Backpack,149,3.8,367,https://www.amazon.in/wesley-15-liter-casual-daypack-backpack/dp/B0BVVY98PZ
B0C6HZDWRQ,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",529,3.7,39,https://www.amazon.in/true-human-r-emperor-15-6-inch-laptop-bag-with-usb-charging-port-laptop-bag-office-bag-college-bags-anti-theft-captain/dp/B0C6HZDWRQ
B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,349,4.0,9235,https://www.amazon.in/adisa-laptop-backpack-31-ltrs/dp/B07G3CG9FC
B092VSZ69M,EXOTIC Women's Sling Bag,450,4.2,2750,https://www.amazon.in/exotic-women-s-sling-bag/dp/B092VSZ69M
B09TPX22NF,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9,1404,https://www.amazon.in/adisa-15-6-inch-laptop-backpack-office-bag-college-travel-back-pack-32-ltrs/dp/B09TPX22NF
B088XG77KN,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",229,4.1,10291,https://www.amazon.in/mi-step-out-12-l-mini-backpack-small-size-red-water-repellant/dp/B088XG77KN
B07B8K3RQK,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",699,4.4,18131,https://www.amazon.in/storite-2-pack-moisture-proof-nylon-large-size-underbed-storage-bag-for-clothes-54-x-46-x-28-cm-black-rectangular/dp/B07B8K3RQK
B07YFNXC3H,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)",1099,4.2,1533,https://www.amazon.in/fatmug-polyester-foldable-duffle-travel-bag-luggage-for-travel-packing-and-storage-men-and-women-60-l-black/dp/B07YFNXC3H
B075MK4TXP,Gear Aspire 30L Medium Water Restant Office Laptop Bag/Backpack for Men/Women (Black),994,4.3,6593,https://www.amazon.in/gear-aspire-30l-medium-water-restant-office-laptop-bag-backpack-for-men-women-black/dp/B075MK4TXP
B089QBD333,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),1299,4.5,4533,https://www.amazon.in/arctic-fox-slope-anti-theft-23-l-backpack-with-usb-charging-port-15-inch-laptop-backpack-marble-black/dp/B089QBD333
B08M66SG5Y,Newtone Premium OXO - Biodegradable Garbage Bags Size 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,144,4.3,212,https://www.amazon.in/newtone-premium-oxo-biodegradable-garbage-bags-size-17-x-19-inches-small-120-bags-4-rolls-dustbin-bag-trash-bag-black-color/dp/B08M66SG5Y
B0BL3SPN16,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,630,4.0,1119,https://www.amazon.in/north-zone-lightweight-school-bags-backpacks-for-boys-girls-stylish-men-and-women-casual-travel-laptop-bag-college-office/dp/B0BL3SPN16
B0BTD4S4XF,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,1399,4.3,1351,https://www.amazon.in/american-tourister-valex-28-ltrs-large-laptop-backpack-with-bottle-pocket-and-front-organizer-black/dp/B0BTD4S4XF
B0BRTFGG22,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.1,346,https://www.amazon.in/rozen-47-ltrs-46-cms-school-bag-class-5-12-large-5-partition-laptop-collage-office-travel-backpack-unisex/dp/B0BRTFGG22
B0BS6QM2GD,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,542,4.0,780,https://www.amazon.in/north-zone-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-travel-backpack-dimensions-13x18-inches-compatible-with-39-62cm-15-6inch-laptop-30-l/dp/B0BS6QM2GD
B0BL3S5NC1,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,540,4.0,1119,https://www.amazon.in/north-zone-lightweight-school-bags-backpacks-for-boys-girls-stylish-men-and-women-casual-travel-laptop-bag-college-office/dp/B0BL3S5NC1
B09W4WJ1CB,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,359,4.0,420,https://www.amazon.in/amazon-basics-20-ltrs-casual-travel-college-backpack-for-15-6-inch-laptop-water-resistant-fabric/dp/B09W4WJ1CB
